original,renamed
T0_t0KRMeanMedJSWmm,t0_mean_medial_jsw_right_in_mm_mean_distance_between_medial_femur_and_tibia_at
T0_t0KRMeanJSWmm,t0_mean_total_jsw_right_in_mm_mean_distance_between_femur_and_tibia_at_8_prede
T0_t0KRMinJSWmm,t0_minimum_jsw_right_in_mm_smallest_distance_between_femur_and_tibia
T0_t0KRAngleJoint,t0_varus_angle_right_in_degrees_angle_between_the_femur_and_tibia_determined_i
T0_t0KROsteophyteFemurLatmm,t0_osteophyte_area_lateral_femur_rightin_mm2
T0_t0KROsteophyteFemurMedmm,t0_osteophyte_area_medial_femur_rightin_mm2
T0_t0KROsteophyteTibiaLatmm,t0_osteophyte_area_lateral_tibia_right_in_mm2
T0_t0KROsteophyteTibiaMedmm,t0_osteophyte_area_medial_tibia_right_in_mm2
T0_Menopauze_01,menopause
T0_Leptinengml,leptine_ng_ml
T0_Adiponectineugml,adiponectine_ug_ml
T0_Resistinengml,resistine_ng_ml
T0_CTXIugmmol,ctx_i_ug_mmol
T0_uNTXInMBCEmmol,untx_i_nm_bce_mmol
T0_sPINP,spinp
T0_sOC,soc
T0_sC12C,sc12c
T0_CTXIIngmmol,ctx_ii_ng_mmol
T0_sCS846,scs846
T0_sCOMPUl,scomp_g_ml
T0_sPIIANP,spiianp
T0_sHA,sha
T0_sPIIINP,spiiinp
T0_hsCRP,hscrp
T0_BSE,erythrocyte_sedimentation_rate
